DC,POD,Cluster,Type,No.,Hostnameÿ,Interfaceÿ,VLANÿ,v4 Base,IPv4ÿ,Cntr,v6 Base,IPv6,Descriptionÿ,,IPv4,DNS A Records,IPv6,DNS AAAA Records,For DNS Tickets,"For Terraforms (copy to Word Pad first, then copy from there to .tfvars file)",
ladcca,1,2,ci-knv,14,ladcca-ci-knv-1214,eth0,343,47.3.0.,107,107,2600:6c7f:91c0:40:3::,6B,"POD 1, VMR 2, Worker VIP",,47.3.0.107,ladcca-ci-knv-1214.ladc.ca.charter.com,2600:6c7f:91c0:40:3::6B,ladcca-ci-knv-1214.ladc.ca.charter.com,"add|a|47.3.0.107|ladcca-ci-knv-1214.ladc.ca.charter.com|3600
add|ptr|47.3.0.107|ladcca-ci-knv-1214.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:3::6B|ladcca-ci-knv-1214.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:3::6B|ladcca-ci-knv-1214.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.0.107"", ip6_addr = ""2600:6c7f:91c0:40:3::6B""
    vm_name = ""ladcca-ci-knv-1214""
  },",
ladcca,1,2,ci-knd,1,ladcca-ci-knd-1201,eth0,343,47.3.0.,108,108,2600:6c7f:91c0:40:3::,6C,"POD 1, VMR 2, Worker",,47.3.0.108,ladcca-ci-knd-1201.ladc.ca.charter.com,2600:6c7f:91c0:40:3::6C,ladcca-ci-knd-1201.ladc.ca.charter.com,"add|a|47.3.0.108|ladcca-ci-knd-1201.ladc.ca.charter.com|3600
add|ptr|47.3.0.108|ladcca-ci-knd-1201.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:3::6C|ladcca-ci-knd-1201.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:3::6C|ladcca-ci-knd-1201.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.0.108"", ip6_addr = ""2600:6c7f:91c0:40:3::6C""
    vm_name = ""ladcca-ci-knd-1201""
  },",
ladcca,1,2,ci-knd,2,ladcca-ci-knd-1202,eth0,343,47.3.0.,109,109,2600:6c7f:91c0:40:3::,6D,"POD 1, VMR 2, Worker",,47.3.0.109,ladcca-ci-knd-1202.ladc.ca.charter.com,2600:6c7f:91c0:40:3::6D,ladcca-ci-knd-1202.ladc.ca.charter.com,"add|a|47.3.0.109|ladcca-ci-knd-1202.ladc.ca.charter.com|3600
add|ptr|47.3.0.109|ladcca-ci-knd-1202.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:3::6D|ladcca-ci-knd-1202.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:3::6D|ladcca-ci-knd-1202.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.0.109"", ip6_addr = ""2600:6c7f:91c0:40:3::6D""
    vm_name = ""ladcca-ci-knd-1202""
  },",
ladcca,1,2,ci-knd,3,ladcca-ci-knd-1203,eth0,343,47.3.0.,110,110,2600:6c7f:91c0:40:3::,6E,"POD 1, VMR 2, Worker",,47.3.0.110,ladcca-ci-knd-1203.ladc.ca.charter.com,2600:6c7f:91c0:40:3::6E,ladcca-ci-knd-1203.ladc.ca.charter.com,"add|a|47.3.0.110|ladcca-ci-knd-1203.ladc.ca.charter.com|3600
add|ptr|47.3.0.110|ladcca-ci-knd-1203.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:3::6E|ladcca-ci-knd-1203.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:3::6E|ladcca-ci-knd-1203.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.0.110"", ip6_addr = ""2600:6c7f:91c0:40:3::6E""
    vm_name = ""ladcca-ci-knd-1203""
  },",
ladcca,1,2,ci-knd,4,ladcca-ci-knd-1204,eth0,343,47.3.0.,111,111,2600:6c7f:91c0:40:3::,6F,"POD 1, VMR 2, Worker",,47.3.0.111,ladcca-ci-knd-1204.ladc.ca.charter.com,2600:6c7f:91c0:40:3::6F,ladcca-ci-knd-1204.ladc.ca.charter.com,"add|a|47.3.0.111|ladcca-ci-knd-1204.ladc.ca.charter.com|3600
add|ptr|47.3.0.111|ladcca-ci-knd-1204.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:3::6F|ladcca-ci-knd-1204.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:3::6F|ladcca-ci-knd-1204.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.0.111"", ip6_addr = ""2600:6c7f:91c0:40:3::6F""
    vm_name = ""ladcca-ci-knd-1204""
  },",
ladcca,1,2,ci-knd,5,ladcca-ci-knd-1205,eth0,343,47.3.0.,112,112,2600:6c7f:91c0:40:3::,70,"POD 1, VMR 2, Worker",,47.3.0.112,ladcca-ci-knd-1205.ladc.ca.charter.com,2600:6c7f:91c0:40:3::70,ladcca-ci-knd-1205.ladc.ca.charter.com,"add|a|47.3.0.112|ladcca-ci-knd-1205.ladc.ca.charter.com|3600
add|ptr|47.3.0.112|ladcca-ci-knd-1205.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:3::70|ladcca-ci-knd-1205.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:3::70|ladcca-ci-knd-1205.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.0.112"", ip6_addr = ""2600:6c7f:91c0:40:3::70""
    vm_name = ""ladcca-ci-knd-1205""
  },",
ladcca,1,2,ci-knd,6,ladcca-ci-knd-1206,eth0,343,47.3.0.,113,113,2600:6c7f:91c0:40:3::,71,"POD 1, VMR 2, Worker",,47.3.0.113,ladcca-ci-knd-1206.ladc.ca.charter.com,2600:6c7f:91c0:40:3::71,ladcca-ci-knd-1206.ladc.ca.charter.com,"add|a|47.3.0.113|ladcca-ci-knd-1206.ladc.ca.charter.com|3600
add|ptr|47.3.0.113|ladcca-ci-knd-1206.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:3::71|ladcca-ci-knd-1206.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:3::71|ladcca-ci-knd-1206.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.0.113"", ip6_addr = ""2600:6c7f:91c0:40:3::71""
    vm_name = ""ladcca-ci-knd-1206""
  },",
ladcca,1,2,ci-knd,7,ladcca-ci-knd-1207,eth0,343,47.3.0.,114,114,2600:6c7f:91c0:40:3::,72,"POD 1, VMR 2, Worker",,47.3.0.114,ladcca-ci-knd-1207.ladc.ca.charter.com,2600:6c7f:91c0:40:3::72,ladcca-ci-knd-1207.ladc.ca.charter.com,"add|a|47.3.0.114|ladcca-ci-knd-1207.ladc.ca.charter.com|3600
add|ptr|47.3.0.114|ladcca-ci-knd-1207.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:3::72|ladcca-ci-knd-1207.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:3::72|ladcca-ci-knd-1207.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.0.114"", ip6_addr = ""2600:6c7f:91c0:40:3::72""
    vm_name = ""ladcca-ci-knd-1207""
  },",
ladcca,1,2,ci-knd,8,ladcca-ci-knd-1208,eth0,343,47.3.0.,115,115,2600:6c7f:91c0:40:3::,73,"POD 1, VMR 2, Worker",,47.3.0.115,ladcca-ci-knd-1208.ladc.ca.charter.com,2600:6c7f:91c0:40:3::73,ladcca-ci-knd-1208.ladc.ca.charter.com,"add|a|47.3.0.115|ladcca-ci-knd-1208.ladc.ca.charter.com|3600
add|ptr|47.3.0.115|ladcca-ci-knd-1208.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:3::73|ladcca-ci-knd-1208.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:3::73|ladcca-ci-knd-1208.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.0.115"", ip6_addr = ""2600:6c7f:91c0:40:3::73""
    vm_name = ""ladcca-ci-knd-1208""
  },",
ladcca,1,2,ci-knd,9,ladcca-ci-knd-1209,eth0,343,47.3.0.,116,116,2600:6c7f:91c0:40:3::,74,"POD 1, VMR 2, Worker",,47.3.0.116,ladcca-ci-knd-1209.ladc.ca.charter.com,2600:6c7f:91c0:40:3::74,ladcca-ci-knd-1209.ladc.ca.charter.com,"add|a|47.3.0.116|ladcca-ci-knd-1209.ladc.ca.charter.com|3600
add|ptr|47.3.0.116|ladcca-ci-knd-1209.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:3::74|ladcca-ci-knd-1209.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:3::74|ladcca-ci-knd-1209.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.0.116"", ip6_addr = ""2600:6c7f:91c0:40:3::74""
    vm_name = ""ladcca-ci-knd-1209""
  },",
ladcca,1,2,ci-knd,10,ladcca-ci-knd-1210,eth0,343,47.3.0.,117,117,2600:6c7f:91c0:40:3::,75,"POD 1, VMR 2, Worker",,47.3.0.117,ladcca-ci-knd-1210.ladc.ca.charter.com,2600:6c7f:91c0:40:3::75,ladcca-ci-knd-1210.ladc.ca.charter.com,"add|a|47.3.0.117|ladcca-ci-knd-1210.ladc.ca.charter.com|3600
add|ptr|47.3.0.117|ladcca-ci-knd-1210.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:3::75|ladcca-ci-knd-1210.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:3::75|ladcca-ci-knd-1210.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.0.117"", ip6_addr = ""2600:6c7f:91c0:40:3::75""
    vm_name = ""ladcca-ci-knd-1210""
  },",
ladcca,1,2,ci-knd,11,ladcca-ci-knd-1211,eth0,343,47.3.0.,118,118,2600:6c7f:91c0:40:3::,76,"POD 1, VMR 2, Worker",,47.3.0.118,ladcca-ci-knd-1211.ladc.ca.charter.com,2600:6c7f:91c0:40:3::76,ladcca-ci-knd-1211.ladc.ca.charter.com,"add|a|47.3.0.118|ladcca-ci-knd-1211.ladc.ca.charter.com|3600
add|ptr|47.3.0.118|ladcca-ci-knd-1211.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:3::76|ladcca-ci-knd-1211.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:3::76|ladcca-ci-knd-1211.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.0.118"", ip6_addr = ""2600:6c7f:91c0:40:3::76""
    vm_name = ""ladcca-ci-knd-1211""
  },",
ladcca,1,2,ci-knd,12,ladcca-ci-knd-1212,eth0,343,47.3.0.,119,119,2600:6c7f:91c0:40:3::,77,"POD 1, VMR 2, Worker",,47.3.0.119,ladcca-ci-knd-1212.ladc.ca.charter.com,2600:6c7f:91c0:40:3::77,ladcca-ci-knd-1212.ladc.ca.charter.com,"add|a|47.3.0.119|ladcca-ci-knd-1212.ladc.ca.charter.com|3600
add|ptr|47.3.0.119|ladcca-ci-knd-1212.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:3::77|ladcca-ci-knd-1212.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:3::77|ladcca-ci-knd-1212.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.0.119"", ip6_addr = ""2600:6c7f:91c0:40:3::77""
    vm_name = ""ladcca-ci-knd-1212""
  },",
ladcca,1,2,ci-knd,13,ladcca-ci-knd-1213,eth0,343,47.3.0.,120,120,2600:6c7f:91c0:40:3::,78,"POD 1, VMR 2, Worker",,47.3.0.120,ladcca-ci-knd-1213.ladc.ca.charter.com,2600:6c7f:91c0:40:3::78,ladcca-ci-knd-1213.ladc.ca.charter.com,"add|a|47.3.0.120|ladcca-ci-knd-1213.ladc.ca.charter.com|3600
add|ptr|47.3.0.120|ladcca-ci-knd-1213.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:3::78|ladcca-ci-knd-1213.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:3::78|ladcca-ci-knd-1213.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.0.120"", ip6_addr = ""2600:6c7f:91c0:40:3::78""
    vm_name = ""ladcca-ci-knd-1213""
  },",
ladcca,1,2,ci-knd,14,ladcca-ci-knd-1214,eth0,343,47.3.0.,121,121,2600:6c7f:91c0:40:3::,79,"POD 1, VMR 2, Worker",,47.3.0.121,ladcca-ci-knd-1214.ladc.ca.charter.com,2600:6c7f:91c0:40:3::79,ladcca-ci-knd-1214.ladc.ca.charter.com,"add|a|47.3.0.121|ladcca-ci-knd-1214.ladc.ca.charter.com|3600
add|ptr|47.3.0.121|ladcca-ci-knd-1214.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:3::79|ladcca-ci-knd-1214.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:3::79|ladcca-ci-knd-1214.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.0.121"", ip6_addr = ""2600:6c7f:91c0:40:3::79""
    vm_name = ""ladcca-ci-knd-1214""
  },",
ladcca,1,2,ci-knd,15,ladcca-ci-knd-1215,eth0,343,47.3.0.,122,122,2600:6c7f:91c0:40:3::,7A,"POD 1, VMR 2, Worker",,47.3.0.122,ladcca-ci-knd-1215.ladc.ca.charter.com,2600:6c7f:91c0:40:3::7A,ladcca-ci-knd-1215.ladc.ca.charter.com,"add|a|47.3.0.122|ladcca-ci-knd-1215.ladc.ca.charter.com|3600
add|ptr|47.3.0.122|ladcca-ci-knd-1215.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:3::7A|ladcca-ci-knd-1215.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:3::7A|ladcca-ci-knd-1215.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.0.122"", ip6_addr = ""2600:6c7f:91c0:40:3::7A""
    vm_name = ""ladcca-ci-knd-1215""
  },",
ladcca,1,2,ci-knd,16,ladcca-ci-knd-1216,eth0,343,47.3.0.,123,123,2600:6c7f:91c0:40:3::,7B,"POD 1, VMR 2, Worker",,47.3.0.123,ladcca-ci-knd-1216.ladc.ca.charter.com,2600:6c7f:91c0:40:3::7B,ladcca-ci-knd-1216.ladc.ca.charter.com,"add|a|47.3.0.123|ladcca-ci-knd-1216.ladc.ca.charter.com|3600
add|ptr|47.3.0.123|ladcca-ci-knd-1216.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:3::7B|ladcca-ci-knd-1216.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:3::7B|ladcca-ci-knd-1216.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.0.123"", ip6_addr = ""2600:6c7f:91c0:40:3::7B""
    vm_name = ""ladcca-ci-knd-1216""
  },",
ladcca,1,2,ci-knd,17,ladcca-ci-knd-1217,eth0,343,47.3.0.,124,124,2600:6c7f:91c0:40:3::,7C,"POD 1, VMR 2, Worker",,47.3.0.124,ladcca-ci-knd-1217.ladc.ca.charter.com,2600:6c7f:91c0:40:3::7C,ladcca-ci-knd-1217.ladc.ca.charter.com,"add|a|47.3.0.124|ladcca-ci-knd-1217.ladc.ca.charter.com|3600
add|ptr|47.3.0.124|ladcca-ci-knd-1217.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:3::7C|ladcca-ci-knd-1217.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:3::7C|ladcca-ci-knd-1217.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.0.124"", ip6_addr = ""2600:6c7f:91c0:40:3::7C""
    vm_name = ""ladcca-ci-knd-1217""
  },",
ladcca,1,2,ci-knd,18,ladcca-ci-knd-1218,eth0,343,47.3.0.,125,125,2600:6c7f:91c0:40:3::,7D,"POD 1, VMR 2, Worker",,47.3.0.125,ladcca-ci-knd-1218.ladc.ca.charter.com,2600:6c7f:91c0:40:3::7D,ladcca-ci-knd-1218.ladc.ca.charter.com,"add|a|47.3.0.125|ladcca-ci-knd-1218.ladc.ca.charter.com|3600
add|ptr|47.3.0.125|ladcca-ci-knd-1218.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:3::7D|ladcca-ci-knd-1218.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:3::7D|ladcca-ci-knd-1218.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.0.125"", ip6_addr = ""2600:6c7f:91c0:40:3::7D""
    vm_name = ""ladcca-ci-knd-1218""
  },",
ladcca,1,2,ci-knd,19,ladcca-ci-knd-1219,eth0,343,47.3.0.,126,126,2600:6c7f:91c0:40:3::,7E,"POD 1, VMR 2, Worker",,47.3.0.126,ladcca-ci-knd-1219.ladc.ca.charter.com,2600:6c7f:91c0:40:3::7E,ladcca-ci-knd-1219.ladc.ca.charter.com,"add|a|47.3.0.126|ladcca-ci-knd-1219.ladc.ca.charter.com|3600
add|ptr|47.3.0.126|ladcca-ci-knd-1219.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:3::7E|ladcca-ci-knd-1219.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:3::7E|ladcca-ci-knd-1219.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.0.126"", ip6_addr = ""2600:6c7f:91c0:40:3::7E""
    vm_name = ""ladcca-ci-knd-1219""
  },",
ladcca,1,2,ci-knd,20,ladcca-ci-knd-1220,eth0,343,47.3.0.,127,127,2600:6c7f:91c0:40:3::,7F,"POD 1, VMR 2, Worker",,47.3.0.127,ladcca-ci-knd-1220.ladc.ca.charter.com,2600:6c7f:91c0:40:3::7F,ladcca-ci-knd-1220.ladc.ca.charter.com,"add|a|47.3.0.127|ladcca-ci-knd-1220.ladc.ca.charter.com|3600
add|ptr|47.3.0.127|ladcca-ci-knd-1220.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:3::7F|ladcca-ci-knd-1220.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:3::7F|ladcca-ci-knd-1220.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.0.127"", ip6_addr = ""2600:6c7f:91c0:40:3::7F""
    vm_name = ""ladcca-ci-knd-1220""
  },",
ladcca,1,2,ci-knd,21,ladcca-ci-knd-1221,eth0,343,47.3.0.,128,128,2600:6c7f:91c0:40:3::,80,"POD 1, VMR 2, Worker",,47.3.0.128,ladcca-ci-knd-1221.ladc.ca.charter.com,2600:6c7f:91c0:40:3::80,ladcca-ci-knd-1221.ladc.ca.charter.com,"add|a|47.3.0.128|ladcca-ci-knd-1221.ladc.ca.charter.com|3600
add|ptr|47.3.0.128|ladcca-ci-knd-1221.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:3::80|ladcca-ci-knd-1221.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:3::80|ladcca-ci-knd-1221.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.0.128"", ip6_addr = ""2600:6c7f:91c0:40:3::80""
    vm_name = ""ladcca-ci-knd-1221""
  },",
ladcca,1,2,ci-knd,22,ladcca-ci-knd-1222,eth0,343,47.3.0.,129,129,2600:6c7f:91c0:40:3::,81,"POD 1, VMR 2, Worker",,47.3.0.129,ladcca-ci-knd-1222.ladc.ca.charter.com,2600:6c7f:91c0:40:3::81,ladcca-ci-knd-1222.ladc.ca.charter.com,"add|a|47.3.0.129|ladcca-ci-knd-1222.ladc.ca.charter.com|3600
add|ptr|47.3.0.129|ladcca-ci-knd-1222.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:3::81|ladcca-ci-knd-1222.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:3::81|ladcca-ci-knd-1222.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.0.129"", ip6_addr = ""2600:6c7f:91c0:40:3::81""
    vm_name = ""ladcca-ci-knd-1222""
  },",
ladcca,1,2,ci-knd,23,ladcca-ci-knd-1223,eth0,343,47.3.0.,130,130,2600:6c7f:91c0:40:3::,82,"POD 1, VMR 2, Worker",,47.3.0.130,ladcca-ci-knd-1223.ladc.ca.charter.com,2600:6c7f:91c0:40:3::82,ladcca-ci-knd-1223.ladc.ca.charter.com,"add|a|47.3.0.130|ladcca-ci-knd-1223.ladc.ca.charter.com|3600
add|ptr|47.3.0.130|ladcca-ci-knd-1223.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:3::82|ladcca-ci-knd-1223.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:3::82|ladcca-ci-knd-1223.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.0.130"", ip6_addr = ""2600:6c7f:91c0:40:3::82""
    vm_name = ""ladcca-ci-knd-1223""
  },",
ladcca,1,2,ci-knd,24,ladcca-ci-knd-1224,eth0,343,47.3.0.,131,131,2600:6c7f:91c0:40:3::,83,"POD 1, VMR 2, Worker",,47.3.0.131,ladcca-ci-knd-1224.ladc.ca.charter.com,2600:6c7f:91c0:40:3::83,ladcca-ci-knd-1224.ladc.ca.charter.com,"add|a|47.3.0.131|ladcca-ci-knd-1224.ladc.ca.charter.com|3600
add|ptr|47.3.0.131|ladcca-ci-knd-1224.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:3::83|ladcca-ci-knd-1224.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:3::83|ladcca-ci-knd-1224.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.0.131"", ip6_addr = ""2600:6c7f:91c0:40:3::83""
    vm_name = ""ladcca-ci-knd-1224""
  },",
ladcca,1,2,ci-knd,25,ladcca-ci-knd-1225,eth0,343,47.3.0.,132,132,2600:6c7f:91c0:40:3::,84,"POD 1, VMR 2, Worker",,47.3.0.132,ladcca-ci-knd-1225.ladc.ca.charter.com,2600:6c7f:91c0:40:3::84,ladcca-ci-knd-1225.ladc.ca.charter.com,"add|a|47.3.0.132|ladcca-ci-knd-1225.ladc.ca.charter.com|3600
add|ptr|47.3.0.132|ladcca-ci-knd-1225.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:3::84|ladcca-ci-knd-1225.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:3::84|ladcca-ci-knd-1225.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.0.132"", ip6_addr = ""2600:6c7f:91c0:40:3::84""
    vm_name = ""ladcca-ci-knd-1225""
  },",
ladcca,1,2,ci-knd,26,ladcca-ci-knd-1226,eth0,343,47.3.0.,133,133,2600:6c7f:91c0:40:3::,85,"POD 1, VMR 2, Worker",,47.3.0.133,ladcca-ci-knd-1226.ladc.ca.charter.com,2600:6c7f:91c0:40:3::85,ladcca-ci-knd-1226.ladc.ca.charter.com,"add|a|47.3.0.133|ladcca-ci-knd-1226.ladc.ca.charter.com|3600
add|ptr|47.3.0.133|ladcca-ci-knd-1226.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:3::85|ladcca-ci-knd-1226.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:3::85|ladcca-ci-knd-1226.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.0.133"", ip6_addr = ""2600:6c7f:91c0:40:3::85""
    vm_name = ""ladcca-ci-knd-1226""
  },",
ladcca,1,2,ci-knd,27,ladcca-ci-knd-1227,eth0,343,47.3.0.,134,134,2600:6c7f:91c0:40:3::,86,"POD 1, VMR 2, Worker",,47.3.0.134,ladcca-ci-knd-1227.ladc.ca.charter.com,2600:6c7f:91c0:40:3::86,ladcca-ci-knd-1227.ladc.ca.charter.com,"add|a|47.3.0.134|ladcca-ci-knd-1227.ladc.ca.charter.com|3600
add|ptr|47.3.0.134|ladcca-ci-knd-1227.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:3::86|ladcca-ci-knd-1227.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:3::86|ladcca-ci-knd-1227.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.0.134"", ip6_addr = ""2600:6c7f:91c0:40:3::86""
    vm_name = ""ladcca-ci-knd-1227""
  },",
ladcca,1,2,ci-knd,28,ladcca-ci-knd-1228,eth0,343,47.3.0.,135,135,2600:6c7f:91c0:40:3::,87,"POD 1, VMR 2, Worker",,47.3.0.135,ladcca-ci-knd-1228.ladc.ca.charter.com,2600:6c7f:91c0:40:3::87,ladcca-ci-knd-1228.ladc.ca.charter.com,"add|a|47.3.0.135|ladcca-ci-knd-1228.ladc.ca.charter.com|3600
add|ptr|47.3.0.135|ladcca-ci-knd-1228.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:3::87|ladcca-ci-knd-1228.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:3::87|ladcca-ci-knd-1228.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.0.135"", ip6_addr = ""2600:6c7f:91c0:40:3::87""
    vm_name = ""ladcca-ci-knd-1228""
  },",
ladcca,1,2,ci-knd,29,ladcca-ci-knd-1229,eth0,343,47.3.0.,136,136,2600:6c7f:91c0:40:3::,88,"POD 1, VMR 2, Worker",,47.3.0.136,ladcca-ci-knd-1229.ladc.ca.charter.com,2600:6c7f:91c0:40:3::88,ladcca-ci-knd-1229.ladc.ca.charter.com,"add|a|47.3.0.136|ladcca-ci-knd-1229.ladc.ca.charter.com|3600
add|ptr|47.3.0.136|ladcca-ci-knd-1229.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:3::88|ladcca-ci-knd-1229.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:3::88|ladcca-ci-knd-1229.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.0.136"", ip6_addr = ""2600:6c7f:91c0:40:3::88""
    vm_name = ""ladcca-ci-knd-1229""
  },",
ladcca,1,2,ci-knd,30,ladcca-ci-knd-1230,eth0,343,47.3.0.,137,137,2600:6c7f:91c0:40:3::,89,"POD 1, VMR 2, Worker",,47.3.0.137,ladcca-ci-knd-1230.ladc.ca.charter.com,2600:6c7f:91c0:40:3::89,ladcca-ci-knd-1230.ladc.ca.charter.com,"add|a|47.3.0.137|ladcca-ci-knd-1230.ladc.ca.charter.com|3600
add|ptr|47.3.0.137|ladcca-ci-knd-1230.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:3::89|ladcca-ci-knd-1230.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:3::89|ladcca-ci-knd-1230.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.0.137"", ip6_addr = ""2600:6c7f:91c0:40:3::89""
    vm_name = ""ladcca-ci-knd-1230""
  },",
ladcca,1,2,ci-knd,31,ladcca-ci-knd-1231,eth0,343,47.3.0.,138,138,2600:6c7f:91c0:40:3::,8A,"POD 1, VMR 2, Worker",,47.3.0.138,ladcca-ci-knd-1231.ladc.ca.charter.com,2600:6c7f:91c0:40:3::8A,ladcca-ci-knd-1231.ladc.ca.charter.com,"add|a|47.3.0.138|ladcca-ci-knd-1231.ladc.ca.charter.com|3600
add|ptr|47.3.0.138|ladcca-ci-knd-1231.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:3::8A|ladcca-ci-knd-1231.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:3::8A|ladcca-ci-knd-1231.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.0.138"", ip6_addr = ""2600:6c7f:91c0:40:3::8A""
    vm_name = ""ladcca-ci-knd-1231""
  },",
