DC,POD,Cluster,Type,No.,Hostnameÿ,Interfaceÿ,VLANÿ,v4 Base,IPv4ÿ,Cntr,v6 Base,IPv6,Descriptionÿ,,IPv4,DNS A Records,IPv6,DNS AAAA Records,For DNS Tickets,"For Terraforms (copy to Word Pad first, then copy from there to .tfvars file)",
ladcca,1,0,ch-gec,28,ladcca-ch-gec-1028-eth1,eth1,341,47.3.5.,31,31,2600:6c7f:91c0:40:1::,1F,"POD 1, eCDN Node Public",,47.3.5.31,ladcca-ch-gec-1028-eth1.ladc.ca.charter.com,2600:6c7f:91c0:40:1::1F,ladcca-ch-gec-1028-eth1.ladc.ca.charter.com,"add|a|47.3.5.31|ladcca-ch-gec-1028-eth1.ladc.ca.charter.com|3600
add|ptr|47.3.5.31|ladcca-ch-gec-1028-eth1.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:1::1F|ladcca-ch-gec-1028-eth1.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:1::1F|ladcca-ch-gec-1028-eth1.ladc.ca.charter.com|3600",,
ladcca,1,0,ch-gec,29,ladcca-ch-gec-1029-eth1,eth1,341,47.3.5.,32,32,2600:6c7f:91c0:40:1::,20,"POD 1, eCDN Node Public",,47.3.5.32,ladcca-ch-gec-1029-eth1.ladc.ca.charter.com,2600:6c7f:91c0:40:1::20,ladcca-ch-gec-1029-eth1.ladc.ca.charter.com,"add|a|47.3.5.32|ladcca-ch-gec-1029-eth1.ladc.ca.charter.com|3600
add|ptr|47.3.5.32|ladcca-ch-gec-1029-eth1.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:1::20|ladcca-ch-gec-1029-eth1.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:1::20|ladcca-ch-gec-1029-eth1.ladc.ca.charter.com|3600",,
ladcca,1,0,ch-gec,30,ladcca-ch-gec-1030-eth1,eth1,341,47.3.5.,33,33,2600:6c7f:91c0:40:1::,21,"POD 1, eCDN Node Public",,47.3.5.33,ladcca-ch-gec-1030-eth1.ladc.ca.charter.com,2600:6c7f:91c0:40:1::21,ladcca-ch-gec-1030-eth1.ladc.ca.charter.com,"add|a|47.3.5.33|ladcca-ch-gec-1030-eth1.ladc.ca.charter.com|3600
add|ptr|47.3.5.33|ladcca-ch-gec-1030-eth1.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:1::21|ladcca-ch-gec-1030-eth1.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:1::21|ladcca-ch-gec-1030-eth1.ladc.ca.charter.com|3600",,
ladcca,1,0,ch-gec,31,ladcca-ch-gec-1031-eth1,eth1,341,47.3.5.,34,34,2600:6c7f:91c0:40:1::,22,"POD 1, eCDN Node Public",,47.3.5.34,ladcca-ch-gec-1031-eth1.ladc.ca.charter.com,2600:6c7f:91c0:40:1::22,ladcca-ch-gec-1031-eth1.ladc.ca.charter.com,"add|a|47.3.5.34|ladcca-ch-gec-1031-eth1.ladc.ca.charter.com|3600
add|ptr|47.3.5.34|ladcca-ch-gec-1031-eth1.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:1::22|ladcca-ch-gec-1031-eth1.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:1::22|ladcca-ch-gec-1031-eth1.ladc.ca.charter.com|3600",,
ladcca,1,0,ch-gec,32,ladcca-ch-gec-1032-eth1,eth1,341,47.3.5.,35,35,2600:6c7f:91c0:40:1::,23,"POD 1, eCDN Node Public",,47.3.5.35,ladcca-ch-gec-1032-eth1.ladc.ca.charter.com,2600:6c7f:91c0:40:1::23,ladcca-ch-gec-1032-eth1.ladc.ca.charter.com,"add|a|47.3.5.35|ladcca-ch-gec-1032-eth1.ladc.ca.charter.com|3600
add|ptr|47.3.5.35|ladcca-ch-gec-1032-eth1.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:1::23|ladcca-ch-gec-1032-eth1.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:1::23|ladcca-ch-gec-1032-eth1.ladc.ca.charter.com|3600",,
,,,,,,,341,47.3.5.,36,36,2600:6c7f:91c0:40:1::,24,,,,,,,,,
,,,,,,,341,47.3.5.,37,37,2600:6c7f:91c0:40:1::,25,,,,,,,,,
,,,,,,,341,47.3.5.,38,38,2600:6c7f:91c0:40:1::,26,,,,,,,,,
,,,,,,,341,47.3.5.,39,39,2600:6c7f:91c0:40:1::,27,,,,,,,,,
,,,,,,,341,47.3.5.,40,40,2600:6c7f:91c0:40:1::,28,,,,,,,,,
