POD	Type	No.	Hostname 	Interface 	VLAN 		IPv4 	Cntr		IPv6	Description 	Orig Line	4Net1	4Net2	4Net3	4Net4		6net		IPv4	DNS A Records	IPv6	DNS AAAA Records
2	ch-gec	1	cdptpabb-ch-gec-2001	eth0	120	75.179.249.	36	4	2001:1998:064f:0103::	4	POD 2 eCDN Internal 1	90	75	179	249	32	75.179.249.36	0103		75.179.249.36	cdptpabb-ch-gec-2001.cdvr.stage.charter.com	2001:1998:064f:0103::4	cdptpabb-ch-gec-2001.cdvr.stage.charter.com
2	ch-gec	2	cdptpabb-ch-gec-2002	eth0	120	75.179.249.	37	5	2001:1998:064f:0103::	5	POD 2 eCDN Internal 2	91	75	179	249	32	75.179.249.37	0103		75.179.249.37	cdptpabb-ch-gec-2002.cdvr.stage.charter.com	2001:1998:064f:0103::5	cdptpabb-ch-gec-2002.cdvr.stage.charter.com
2	ch-gec	3	cdptpabb-ch-gec-2003	eth0	120	75.179.249.	38	6	2001:1998:064f:0103::	6	POD 2 eCDN Internal 3	92	75	179	249	32	75.179.249.38	0103		75.179.249.38	cdptpabb-ch-gec-2003.cdvr.stage.charter.com	2001:1998:064f:0103::6	cdptpabb-ch-gec-2003.cdvr.stage.charter.com
2	ch-gec	4	cdptpabb-ch-gec-2004	eth0	120	75.179.249.	39	7	2001:1998:064f:0103::	7	POD 2 eCDN Internal 4	93	75	179	249	32	75.179.249.39	0103		75.179.249.39	cdptpabb-ch-gec-2004.cdvr.stage.charter.com	2001:1998:064f:0103::7	cdptpabb-ch-gec-2004.cdvr.stage.charter.com
2	im-jit	1	cdptpabb-im-jit-2001	eth0	120	75.179.249.	40	8	2001:1998:064f:0103::	8	POD 2 JITP 1	94	75	179	249	32	75.179.249.40	0103		75.179.249.40	cdptpabb-im-jit-2001.cdvr.stage.charter.com	2001:1998:064f:0103::8	cdptpabb-im-jit-2001.cdvr.stage.charter.com
2	im-jit	2	cdptpabb-im-jit-2002	eth0	120	75.179.249.	41	9	2001:1998:064f:0103::	9	POD 2 JITP 2	95	75	179	249	32	75.179.249.41	0103		75.179.249.41	cdptpabb-im-jit-2002.cdvr.stage.charter.com	2001:1998:064f:0103::9	cdptpabb-im-jit-2002.cdvr.stage.charter.com
2	n/a	n/a	ipvs2001	n/a	120	75.179.249.	42	10	2001:1998:064f:0103::	A	POD 2 IPVS VIP	96	75	179	249	32	75.179.249.42	0103		75.179.249.42	ipvs2001.cdvr.stage.charter.com	2001:1998:064f:0103::A	ipvs2001.cdvr.stage.charter.com
2	ch-llb	3	cdptpabb-ch-llb-2001	eth0	120	75.179.249.	43	11	2001:1998:064f:0103::	B	"POD 2, IPVS 3"	97	75	179	249	32	75.179.249.43	0103		75.179.249.43	cdptpabb-ch-llb-2001.cdvr.stage.charter.com	2001:1998:064f:0103::B	cdptpabb-ch-llb-2001.cdvr.stage.charter.com
2	ch-llb	4	cdptpabb-ch-llb-2002	eth0	120	75.179.249.	44	12	2001:1998:064f:0103::	C	"POD 2, IPVS 4"	98	75	179	249	32	75.179.249.44	0103		75.179.249.44	cdptpabb-ch-llb-2002.cdvr.stage.charter.com	2001:1998:064f:0103::C	cdptpabb-ch-llb-2002.cdvr.stage.charter.com
2	ib-acr	1	cdptpabb-ib-acr-2001	??	120	75.179.249.	45	13	2001:1998:064f:0103::	D	"POD 2, Read Accessor 1"	99	75	179	249	32	75.179.249.45	0103		75.179.249.45	cdptpabb-ib-acr-2001.cdvr.stage.charter.com	2001:1998:064f:0103::D	cdptpabb-ib-acr-2001.cdvr.stage.charter.com
2	ib-acr	2	cdptpabb-ib-acr-2002	??	120	75.179.249.	46	14	2001:1998:064f:0103::	E	"POD 2, Read Accessor 2"	100	75	179	249	32	75.179.249.46	0103		75.179.249.46	cdptpabb-ib-acr-2002.cdvr.stage.charter.com	2001:1998:064f:0103::E	cdptpabb-ib-acr-2002.cdvr.stage.charter.com
			Broadcast		120	75.179.249.	47			ffff:ffff:ffff:ffff		101	75	179	249	32	75.179.249.47	0103					
												102											
			"IPv4 Network: 75.179.249.48/28
MASK: 255.255.255.240
IPv6 Network: 2001:1998:064f:0104::/64"		320		48				"RDC 1, POD 3, JITP
domain: cdvr.stage.charter.com"	103	75	179	249	48	75.179.249.48	0104					
			VRRP VIP		320	75.179.249.	49	1	2001:1998:064f:0104::	1		104	75	179	249	48	75.179.249.49	0104					
			Router 1		320	75.179.249.	50	2	2001:1998:064f:0104::	2		105	75	179	249	48	75.179.249.50	0104					
			Router 2		320	75.179.249.	51	3	2001:1998:064f:0104::	3		106	75	179	249	48	75.179.249.51	0104					
3	ch-gec	1001	cdptpabb-ch-gec-3001	eth0	320	75.179.249.	52	4	2001:1998:064f:0104::	4	POD 3 eCDN Internal 1001	107	75	179	249	48	75.179.249.52	0104		75.179.249.52	cdptpabb-ch-gec-3001.cdvr.stage.charter.com	2001:1998:064f:0104::4	cdptpabb-ch-gec-3001.cdvr.stage.charter.com
3	ch-gec	1002	cdptpabb-ch-gec-3002	eth0	320	75.179.249.	53	5	2001:1998:064f:0104::	5	POD 3 eCDN Internal 1002	108	75	179	249	48	75.179.249.53	0104		75.179.249.53	cdptpabb-ch-gec-3002.cdvr.stage.charter.com	2001:1998:064f:0104::5	cdptpabb-ch-gec-3002.cdvr.stage.charter.com
3	ch-gec	1003	cdptpabb-ch-gec-3003	eth0	320	75.179.249.	54	6	2001:1998:064f:0104::	6	POD 3 eCDN Internal 1003	109	75	179	249	48	75.179.249.54	0104		75.179.249.54	cdptpabb-ch-gec-3003.cdvr.stage.charter.com	2001:1998:064f:0104::6	cdptpabb-ch-gec-3003.cdvr.stage.charter.com
3	ch-gec	1004	cdptpabb-ch-gec-3004	eth0	320	75.179.249.	55	7	2001:1998:064f:0104::	7	POD 3 eCDN Internal 1004	110	75	179	249	48	75.179.249.55	0104		75.179.249.55	cdptpabb-ch-gec-3004.cdvr.stage.charter.com	2001:1998:064f:0104::7	cdptpabb-ch-gec-3004.cdvr.stage.charter.com
3	im-jit	1001	cdptpabb-im-jit-3001	eth0	320	75.179.249.	56	8	2001:1998:064f:0104::	8	POD 3 JITP 1001	111	75	179	249	48	75.179.249.56	0104		75.179.249.56	cdptpabb-im-jit-3001.cdvr.stage.charter.com	2001:1998:064f:0104::8	cdptpabb-im-jit-3001.cdvr.stage.charter.com
3	im-jit	1002	cdptpabb-im-jit-3002	eth0	320	75.179.249.	57	9	2001:1998:064f:0104::	9	POD 3 JITP 1002	112	75	179	249	48	75.179.249.57	0104		75.179.249.57	cdptpabb-im-jit-3002.cdvr.stage.charter.com	2001:1998:064f:0104::9	cdptpabb-im-jit-3002.cdvr.stage.charter.com
3	n/a	n/a	ipvs3001	n/a	320	75.179.249.	58	10	2001:1998:064f:0104::	A	POD 3 IPVS VIP	113	75	179	249	48	75.179.249.58	0104		75.179.249.58	ipvs3001.cdvr.stage.charter.com	2001:1998:064f:0104::A	ipvs3001.cdvr.stage.charter.com
3	ch-llb	1002	cdptpabb-ch-llb-3001	eth0	320	75.179.249.	59	11	2001:1998:064f:0104::	B	"POD 3, IPVS 1002"	114	75	179	249	48	75.179.249.59	0104		75.179.249.59	cdptpabb-ch-llb-3001.cdvr.stage.charter.com	2001:1998:064f:0104::B	cdptpabb-ch-llb-3001.cdvr.stage.charter.com
3	ch-llb	1003	cdptpabb-ch-llb-3002	eth0	320	75.179.249.	60	12	2001:1998:064f:0104::	C	"POD 3, IPVS 1003"	115	75	179	249	48	75.179.249.60	0104		75.179.249.60	cdptpabb-ch-llb-3002.cdvr.stage.charter.com	2001:1998:064f:0104::C	cdptpabb-ch-llb-3002.cdvr.stage.charter.com
3	ib-acr	1001	cdptpabb-ib-acr-3001	eth0	320	75.179.249.	61	13	2001:1998:064f:0104::	D	"POD 3, Read Accessor 1001"	116	75	179	249	48	75.179.249.61	0104		75.179.249.61	cdptpabb-ib-acr-3001.cdvr.stage.charter.com	2001:1998:064f:0104::D	cdptpabb-ib-acr-3001.cdvr.stage.charter.com
3	ib-acr	1002	cdptpabb-ib-acr-3002	eth0	320	75.179.249.	62	14	2001:1998:064f:0104::	E	"POD 3, Read Accessor 1002"	117	75	179	249	48	75.179.249.62	0104		75.179.249.62	cdptpabb-ib-acr-3002.cdvr.stage.charter.com	2001:1998:064f:0104::E	cdptpabb-ib-acr-3002.cdvr.stage.charter.com
			Broadcast		320	75.179.249.	63			ffff:ffff:ffff:ffff		118	75	179	249	48	75.179.249.63	0104					
												119											
			"IPv4 Network: 75.179.212.0/26
MASK: 255.255.255.192
IPv6 Network: 2001:1998:064f:0105::/64"		130		0				"RDC 1, POD 2, VMR
domain: cdvr.stage.charter.com"	120	75	179	212	64	75.179.212.0	0105					
			VRRP VIP		130	75.179.212.	1	1	2001:1998:064f:0105::	1		121	75	179	212	64	75.179.212.1	0105					
			Router 1		130	75.179.212.	2	2	2001:1998:064f:0105::	2		122	75	179	212	64	75.179.212.2	0105					
			Router 2		130	75.179.212.	3	3	2001:1998:064f:0105::	3		123	75	179	212	64	75.179.212.3	0105					
2	ib-acw	1	cdptpabb-ib-acw-2001	eth0	130	75.179.212.	4	4	2001:1998:064f:0105::	4	"POD 2, Write Accessor 1"	124	75	179	212	64	75.179.212.4	0105		75.179.212.4	cdptpabb-ib-acw-2001.cdvr.stage.charter.com	2001:1998:064f:0105::4	cdptpabb-ib-acw-2001.cdvr.stage.charter.com
2	ib-acw	2	cdptpabb-ib-acw-2002	eth0	130	75.179.212.	5	5	2001:1998:064f:0105::	5	"POD 2, Write Accessor 2"	125	75	179	212	64	75.179.212.5	0105		75.179.212.5	cdptpabb-ib-acw-2002.cdvr.stage.charter.com	2001:1998:064f:0105::5	cdptpabb-ib-acw-2002.cdvr.stage.charter.com
2			cdptpabb-ch-llb-2003	eth0	130	75.179.212.	6	6	2001:1998:064f:0105::	6	POD 2 Dash Origin LB 1	126	75	179	212	64	75.179.212.6	0105		75.179.212.6	cdptpabb-ch-llb-2003.cdvr.stage.charter.com	2001:1998:064f:0105::6	cdptpabb-ch-llb-2003.cdvr.stage.charter.com
2			cdptpabb-ch-llb-2004	eth0	130	75.179.212.	7	7	2001:1998:064f:0105::	7	POD 2 Dash Origin LB 2	127	75	179	212	64	75.179.212.7	0105		75.179.212.7	cdptpabb-ch-llb-2004.cdvr.stage.charter.com	2001:1998:064f:0105::7	cdptpabb-ch-llb-2004.cdvr.stage.charter.com
